title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
兆品酒店嘉義,嘉義排名第 1 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d308696-Reviews-Maison_de_Chine_Hotel_Chiayi-West_District_Chiayi.html,23.48027229309082,120.48335266113281,"NT$1,819",文化路257號,3.5,嘉義,西區,"NT$1,823 - NT$4,111",5.0,1980,https://media-cdn.tripadvisor.com/media/photo-s/0a/38/c9/5c/caption.jpg,"禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 房務, 迷你吧, 平板電視, 私人陽台, 客房服務, 保險箱, 冰箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 兒童可享免費住宿, 兒童活動 (適合兒童/家庭), 免費機場接送, 提供上網服務的商務中心, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 免費即溶咖啡, 免費接駁或計程車服務, 機場接送, 巴士接駁服務, 包車, 計程車服務, 會議設施, 宴會廳, 會議室, 行李存放, 禮賓服務, 禁菸飯店, 24 小時服務櫃台, 乾洗服務, 洗衣服務, 自助式洗衣, 燙衣服務","NT$2,210"
福泰桔子商旅 嘉義文化店,嘉義排名第 2 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d11998083-Reviews-Orange_Hotel_Wenhua_Chiayi-East_District_Chiayi.html,23.483396530151367,120.44874572753906,"NT$1,693",文化路169號,3.5,嘉義,東區,"NT$773 - NT$2,751",5.0,2600,https://media-cdn.tripadvisor.com/media/photo-s/13/10/24/32/photo0jpg.jpg,"禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 保險箱, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費早餐, 兒童活動 (適合兒童/家庭), 計程車服務, 行李存放, 禁菸飯店, 乾洗服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 免費即溶咖啡, 共用休息室/電視區, 洗衣服務, 自助式洗衣","NT$1,819"
承億文旅-桃城茶樣子,嘉義排名第 3 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d6767724-Reviews-Hotel_Day_Plus_Teascape-East_District_Chiayi.html,23.4810848236084,120.44937896728516,"NT$2,571",東區忠孝路516號,4.0,嘉義,東區,"NT$2,503 - NT$5,007",4.5,428,https://media-cdn.tripadvisor.com/media/photo-s/0e/cb/6d/b9/photo4jpg.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 屋頂游泳池, 室外游泳池, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 游泳池酒吧, 屋頂酒吧, 會議室, 屋頂露台, 禮賓服務, 禁菸飯店, 洗衣服務",
嘉義商旅,嘉義排名第 4 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2144929-Reviews-Hotel_Day_Plus_Chiayi-West_District_Chiayi.html,23.493654251098633,120.45281219482422,"NT$1,303",垂楊路866號,3.5,嘉義,西區,"NT$1,205 - NT$3,554",4.5,642,https://media-cdn.tripadvisor.com/media/photo-s/01/e5/9f/5c/room.jpg,免費停車,,"NT$3,030"
天成文旅-繪日之丘,嘉義排名第 5 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d10593117-Reviews-Sun_Dialogue_Hotel-East_District_Chiayi.html,23.473146438598633,120.43753051757812,"NT$2,043",大雅路一段888號 嘉义市,3.5,嘉義,東區,"NT$1,916 - NT$5,038",5.0,2509,https://media-cdn.tripadvisor.com/media/photo-s/0c/37/0e/4c/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 兒童活動 (適合兒童/家庭), 行李存放, 禮賓服務, 無線網路, 網際網路, 自助式早餐, 禁菸飯店",
寬悅花園酒店,嘉義排名第 6 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d14162885-Reviews-Kuan_Hotel-East_District_Chiayi.html,23.48027229309082,120.48335266113281,"NT$1,978",保順路69號,4.0,嘉義,東區,"NT$2,318 - NT$4,327",4.5,74,https://media-cdn.tripadvisor.com/media/photo-s/15/5b/5a/34/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 酒吧/酒廊, 兒童活動 (適合兒童/家庭), 允許攜帶寵物 (可帶狗/寵物), 巴士接駁服務, 提供上網服務的商務中心, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 會議設施, 宴會廳, 會議室, 禮賓服務, 禁菸飯店, 自助式洗衣","NT$2,210"
嘉義亮點旅店,嘉義排名第 7 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d11651303-Reviews-Hotel_Discover-West_District_Chiayi.html,23.492572784423828,120.43244934082031,"NT$1,582",仁愛路560號,3.5,嘉義,西區,"NT$1,638 - NT$2,782",4.5,108,https://media-cdn.tripadvisor.com/media/photo-s/0f/2c/3c/83/hotel-discover.jpg,"禁菸客房, 套房, 空調設施, 客房服務","免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 有健身房的健身中心, 餐廳, 洗衣服務","NT$1,948"
安蘭居國際青年館,嘉義排名第 8 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d4474640-Reviews-An_Lan_Jie_Hostel-West_District_Chiayi.html,23.50487518310547,120.44995880126953,"NT$1,098",蘭井街465號14樓之一,2.0,嘉義,西區,"NT$1,082 - NT$2,843",5.0,95,https://media-cdn.tripadvisor.com/media/photo-s/11/4b/6d/c3/standard-double-room.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 小廚房","免費高速上網 (WiFi), 免費網際網路, 免費早餐, 提供早餐, 會議設施, 會議室, 禁菸飯店, 自助式洗衣, 無線網路, 公用無線網路, 網際網路",
嘉義樂客商務旅館,嘉義排名第 9 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d6557476-Reviews-Look_Hotel_Chiayi-West_District_Chiayi.html,23.4255313873291,120.53753662109375,NT$947,東區林森西路155號,3.5,嘉義,西區,"NT$1,113 - NT$2,843",4.0,46,https://media-cdn.tripadvisor.com/media/photo-s/0c/e8/52/98/caption.jpg,禁菸客房,免費網際網路,"NT$1,641"
尊皇大飯店,嘉義排名第 10 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d7226996-Reviews-Tsun_Huang_Hotel-West_District_Chiayi.html,23.47663116455078,120.4416275024414,"NT$1,469",西區大華路250號,4.0,嘉義,西區,"NT$1,669 - NT$3,276",4.0,78,https://media-cdn.tripadvisor.com/media/photo-s/0e/d4/d9/0a/caption.jpg,"禁菸客房, 家庭房, 空調設施, 客房服務, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 巴士接駁服務, 提供上網服務的商務中心, 宴會廳, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 會議室, 禮賓服務, 禁菸飯店",
